Overall,0-15,16-30,31-45,46-60,61-75,76-90,,1st H.,2nd H.
Bordeaux W,13-3,8-0,4-6,9-1,9-5,4-3,,25-9,22-9
Dijon W,1-3,4-7,5-3,2-8,3-5,7-6,,10-13,12-19
Fleury W,2-4,5-5,3-3,1-4,3-7,1-7,,10-12,5-18
Guingamp W,3-3,2-1,2-4,6-4,6-4,5-7,,7-8,17-15
Issy W,1-9,1-8,2-12,3-11,1-10,1-14,,4-29,5-35
Le Havre W,2-8,2-8,3-6,1-1,1-6,3-10,,7-22,5-17
Lyon W,10-2,9-0,9-1,6-1,11-1,10-0,,28-3,27-2
Montpellier W,1-8,4-4,6-5,2-5,2-6,10-3,,11-17,14-14
Paris FC W,4-4,1-4,5-2,8-4,2-6,8-5,,10-10,18-15
Paris SG W,14-0,6-0,11-0,10-0,16-1,14-1,,31-0,40-2
Reims W,5-8,4-5,6-9,3-6,11-4,3-5,,15-22,17-15
Soyaux W,1-5,3-7,1-6,1-7,2-12,2-7,,5-18,5-26